1. What is the unit of force in the SI system?|A. Newton|B. Joule|C. Watt|D. Pascal|A
53. Who wrote "The Palm-Wine Drinkard"?|A. Amos Tutuola|B. Chinua Achebe|C. Wole Soyinka|D. Cyprian Ekwensi|A
54. What is the meaning of 'oxymoron'?|A. Contradictory terms|B. Exaggeration|C. Comparison|D. Description|A
55. Who is the author of "Mine Boy"?|A. Peter Abrahams|B. Chinua Achebe|C. Wole Soyinka|D. Ngugi wa Thiong'o|A
56. What is the main theme of "King Lear"?|A. Betrayal|B. Love|C. War|D. Adventure|A
57. What is a setting?|A. Where and when a story takes place|B. The plot|C. The characters|D. The theme|A
58. Who wrote "The Slave"?|A. Elechi Amadi|B. Chinua Achebe|C. Wole Soyinka|D. Cyprian Ekwensi|A
59. What is the meaning of 'epic'?|A. A long narrative poem|B. A short story|C. A play|D. An essay|A
60. Who is the author of "The Drummer Boy"?|A. Cyprian Ekwensi|B. Chinua Achebe|C. Wole Soyinka|D. Ngugi wa Thiong'o|A
61. What is the main theme of "Twelfth Night"?|A. Love|B. War|C. Betrayal|D. Adventure|A
62. What is a theme?|A. The central idea of a story|B. The setting|C. The characters|D. The plot|A
63. Who wrote "The Potter's Wheel"?|A. Chukwuemeka Ike|B. Chinua Achebe|C. Wole Soyinka|D. Cyprian Ekwensi|A
64. What is the meaning of 'flashback'?|A. A scene set in a time earlier than the main story|B. Exaggeration|C. Comparison|D. Description|A
65. Who is the author of "The Passport of Mallam Ilia"?|A. Cyprian Ekwensi|B. Chinua Achebe|C. Wole Soyinka|D. Ngugi wa Thiong'o|A
66. What is the main theme of "Antigone"?|A. Duty and Defiance|B. Love|C. War|D. Friendship|A
67. What is a tragedy?|A. A serious play with a sad ending|B. A comedy|C. An epic|D. A poem|A
68. Who wrote "The Wives' Revolt"?|A. J.P. Clark|B. Chinua Achebe|C. Wole Soyinka|D. Cyprian Ekwensi|A
69. What is the meaning of 'satire'?|A. Use of humor to criticize|B. Exaggeration|C. Comparison|D. Description|A
70. Who is the author of "The Last Duty"?|A. Isidore Okpewho|B. Chinua Achebe|C. Wole Soyinka|D. Cyprian Ekwensi|A
71. What is the main theme of "The Old Man and the Sea"?|A. Perseverance|B. Love|C. War|D. Friendship|A
72. What is a novella?|A. A short novel|B. A poem|C. A play|D. An essay|A
73. Who wrote "The Bride Price"?|A. Buchi Emecheta|B. Flora Nwapa|C. Chimamanda Adichie|D. Cyprian Ekwensi|A
74. What is the meaning of 'motif'?|A. A recurring element|B. Exaggeration|C. Comparison|D. Description|A
75. Who is the author of "The Interpreters"?|A. Wole Soyinka|B. Chinua Achebe|C. Ngugi wa Thiong'o|D. Cyprian Ekwensi|A
76. What is the main theme of "The Lion and the Jewel"?|A. Tradition vs Modernity|B. Love|C. War|D. Friendship|A
77. What is a comedy?|A. A play with a happy ending|B. A tragedy|C. An epic|D. A poem|A
78. Who wrote "The Famished Road"?|A. Ben Okri|B. Chinua Achebe|C. Wole Soyinka|D. Ngugi wa Thiong'o|A
79. What is the meaning of 'symbolism'?|A. Use of symbols to represent ideas|B. Exaggeration|C. Comparison|D. Description|A
80. Who is the author of "The Secret Lives of Baba Segi’s Wives"?|A. Lola Shoneyin|B. Chimamanda Adichie|C. Buchi Emecheta|D. Flora Nwapa|A
81. What is the main theme of "The River Between"?|A. Tradition vs Change|B. Love|C. War|D. Friendship|A
82. What is a fable?|A. A story with animals as characters|B. A poem|C. A play|D. An essay|A
83. Who wrote "Half of a Yellow Sun"?|A. Chimamanda Adichie|B. Flora Nwapa|C. Buchi Emecheta|D. Cyprian Ekwensi|A
84. What is the meaning of 'genre'?|A. Category of literature|B. Exaggeration|C. Comparison|D. Description|A
85. Who is the author of "The Fishermen"?|A. Chigozie Obioma|B. Chinua Achebe|C. Wole Soyinka|D. Cyprian Ekwensi|A
86. What is the main theme of "The Joys of Motherhood"?|A. Motherhood|B. Love|C. War|D. Friendship|A
87. What is a myth?|A. A traditional story explaining natural phenomena|B. A poem|C. A play|D. An essay|A
88. Who wrote "Americanah"?|A. Chimamanda Adichie|B. Flora Nwapa|C. Buchi Emecheta|D. Cyprian Ekwensi|A
89. What is the meaning of 'prologue'?|A. Introduction to a story|B. Exaggeration|C. Comparison|D. Description|A
90. Who is the author of "The Madmen and Specialists"?|A. Wole Soyinka|B. Chinua Achebe|C. Ngugi wa Thiong'o|D. Cyprian Ekwensi|A
91. What is the main theme of "The Concubine"?|A. Fate|B. Love|C. War|D. Friendship|A
92. What is a legend?|A. A traditional story about heroes|B. A poem|C. A play|D. An essay|A
93. Who wrote "The Beautiful Ones Are Not Yet Born"?|A. Ayi Kwei Armah|B. Chinua Achebe|C. Wole Soyinka|D. Ngugi wa Thiong'o|A
94. What is the meaning of 'soliloquy'?|A. A speech by a character alone on stage|B. Exaggeration|C. Comparison|D. Description|A
95. Who is the author of "The Trials of Brother Jero"?|A. Wole Soyinka|B. Chinua Achebe|C. Ngugi wa Thiong'o|D. John Pepper Clark|A
96. What is the main theme of "Efuru"?|A. Womanhood|B. Love|C. War|D. Friendship|A
97. What is a ballad?|A. A narrative poem|B. A short story|C. A play|D. An essay|A
98. Who wrote "The Bottled Leopard"?|A. Chukwuemeka Ike|B. Chinua Achebe|C. Wole Soyinka|D. Cyprian Ekwensi|A
99. What is the meaning of 'antagonist'?|A. The opposing character|B. The main character|C. The narrator|D. The setting|A
100. Who is the author of "The Passport of Mallam Ilia"?|A. Cyprian Ekwensi|B. Chinua Achebe|C. Wole Soyinka|D. Ngugi wa Thiong'o|A
